SK,Name,Planning_project_SK,Project_task_SK,Hourly_Rate
571,Servervirtualization,736,NULL,NULL
572,Datacenter Documentation,736,NULL,NULL
573,Core infrastructure services (dedicated),736,NULL,NULL
574,Workplace virtualisation services (dedicated),736,NULL,NULL
575,Monitoring & Management tools & services,736,NULL,NULL
576,Disaster Recovery Services,736,NULL,NULL
578,Project Management,736,NULL,NULL
579,HP Care Pack Installation Services,736,NULL,NULL
580,Diensten buiten het project,736,NULL,NULL
581,OPS Cozie Genval,430,NULL,NULL
583,Services inside PreventionCare Forfait,715,NULL,NULL
584,Services outside PreventionCare Forfait,715,NULL,NULL
585,Servicedesk outside PreventionCare Forfait,715,NULL,NULL
586,Servicedesk inside PreventionCare Forfait,715,NULL,NULL
588,Rack & Physical Servers,744,NULL,NULL
589,Servervirtualization,744,NULL,NULL
590,Core infrastructure services (dedicated),744,NULL,NULL
591,Assistentie Application & Database services (dedicated),744,NULL,NULL
592,Workplace virtualisation services (dedicated),744,NULL,NULL
593,Diverse regieprestaties binnen project,744,NULL,NULL
594,Project Management,744,NULL,NULL
595,Diensten buiten het project,744,NULL,NULL
596,Ondersteuning HQ SharePoint Farm - Online,345,NULL,NULL
599,Power BI begeleiding,311,NULL,NULL
600,Migratie diensten,291,NULL,NULL
601,Artikelbeheer Go Live,291,NULL,NULL
602,Assistentie Tickets,714,NULL,NULL
603,Assistentie PowerApp en Flow,714,NULL,NULL
604,"SCC - Analyse, Project Management, Training",714,NULL,NULL
605,Diensten,480,NULL,NULL
606,Segmentering Netwerk,366,NULL,NULL
607,Project Mgmt,366,NULL,NULL
610,DR testing,367,NULL,NULL
614,OPS Cozie lokeren,431,NULL,NULL
617,Data model co-creatie,346,NULL,NULL
618,"SCC - Installatie, Configuratie, Development",618,NULL,NULL
619,Improve&Accelerate begeleiding,274,NULL,NULL
620,SCC - Software Development,209,NULL,NULL
625,Diensten buiten het project,711,NULL,NULL
626,Test Migratie,220,NULL,NULL
627,Rehearsal Migratie,220,NULL,NULL
628,Productie Migratie,220,NULL,NULL
629,Support na Go-Live,220,NULL,NULL
630,Project Management,220,NULL,NULL
632,Test Migration after WT12,220,NULL,NULL
633,Rehearsal Migration after WT12,220,NULL,NULL
634,Production Migration after WT12,220,NULL,NULL
635,Support after GoLive after WT12,220,NULL,NULL
636,domein upgrade,368,NULL,NULL
637,Assistentie migratie Exchange Online,338,NULL,NULL
638,Introductionary workshop R&D Management,296,NULL,NULL
639,Workshop on 3 to 4  topics,296,NULL,NULL
640,"Cluster input, document use cases",296,NULL,NULL
641,Preparation - iterations - presentation,296,NULL,NULL
642,Consulting services on roadmap,296,NULL,NULL
645,Diensten buiten het project,712,NULL,NULL
646,API (Globis - Dynamics365),385,NULL,NULL
647,Import accounts & contacts,385,NULL,NULL
650,FortiNac installation,764,NULL,NULL
651,FortiGate installation,764,NULL,NULL
652,Diensten buiten het project,764,NULL,NULL
653,Verbetering methodieken en support methodieken,218,NULL,NULL
654,"Assistentie on-site Marke (gebruikersondersteuning, halve dag/week)",218,NULL,NULL
655,"Assistentie on-site Vigan (gebruikersondersteuning, dag/3 weken) 1",218,NULL,NULL
656,Assistentie on-site Marke (ad hoc thema's),218,NULL,NULL
657,Status meeting met alle sites,218,NULL,NULL
658,Service management,218,NULL,NULL
659,Assistentie on-site Marke (gebruikersondersteuning),229,NULL,NULL
660,Assistentie on-site Marke (ad hoc thema's),229,NULL,NULL
661,Service management,229,NULL,NULL
662,Diensten,587,NULL,NULL
663,Improve & Accelerate Services SCC,270,NULL,NULL
664,Improve & Accelerate PM diensten SCC,270,NULL,NULL
665,"Installatie, configuratie, development",287,NULL,NULL
666,Project Management,287,NULL,NULL
667,afwerkingen,406,NULL,NULL
668,afwerkingen,391,NULL,NULL
669,Installation & Configuration,208,NULL,NULL
670,Consultancy & Project Management & Analysis,208,NULL,NULL
671,Production Rollout - Install production environment (including approved configurations),236,NULL,NULL
673,Production Rollout - Implement and document backup strategy (and other operational maintenance tasks,236,NULL,NULL
674,Production Rollout - First level performance tuning on production server,236,NULL,NULL
675,Production Rollout - Project Management,236,NULL,NULL
676,"Data migration MM - Detailed specifications (mappings,?)",236,NULL,NULL
678,"Data migration MM - Programming document, classification migration",236,NULL,NULL
680,Data migration MM - Define test plans,236,NULL,NULL
681,Data migration MM - Rehearsal migrations + testing,236,NULL,NULL
682,"Windchill Installation, Analysis & Configuration - Active Directory Synchronization",236,NULL,NULL
683,"Windchill Installation, Analysis & Configuration - HTTPS",236,NULL,NULL
684,"Windchill Installation, Analysis & Configuration - Detailed Windchill analysis",236,NULL,NULL
685,"Windchill Installation, Analysis & Configuration - Document configuration in Business Configuration",236,NULL,NULL
686,Installation and configuration CAD - Configure Workgroup Managers on test server,236,NULL,NULL
687,Assembly weight,236,NULL,NULL
688,Additional actions during viewable creation,236,NULL,NULL
689,Export view files,236,NULL,NULL
690,Data migration TC - Document definitions in functional document,236,NULL,NULL
691,"Datamigration TC - Testmigrations, rehearsal + user assistance - Change request 01",236,NULL,NULL
692,Datamigration TC - Testmigrations 3 + user assistance - Change request 01,236,NULL,NULL
693,Datamigration TC - Project management - Change request 01,236,NULL,NULL
694,Data migration TC - Production migration,236,NULL,NULL
695,Data migration TC - Project Management,236,NULL,NULL
696,"SWIPE Installation, Analysis & Configuration",236,NULL,NULL
697,SWIPE Project Management,236,NULL,NULL
698,Data migration MM - Production migration,236,NULL,NULL
700,Custom SWIPE queries,236,NULL,NULL
702,CR 004 - Solidworks - Windchill Analysis & configuration,236,NULL,NULL
703,CR 004 - Solidworks - Installation & configuration CAD,236,NULL,NULL
704,CR 004 - Solidworks - Production Rollout,236,NULL,NULL
705,CR 004 - Solidworks - Post production support,236,NULL,NULL
706,CR 004 - Solidworks - Project Management,236,NULL,NULL
707,Out of scope,236,NULL,NULL
708,Perimeter Security,392,NULL,NULL
709,Project Management,392,NULL,NULL
710,Diverse,392,NULL,NULL
712,Services Management,160,NULL,NULL
714,Update & Maintain,160,NULL,NULL
715,Customer portal support and improvements,634,NULL,NULL
716,afwerkingen,407,NULL,NULL
719,Maintain & Update - FWM,41,NULL,NULL
720,Valo - Intranet ondersteuning,358,NULL,NULL
721,Installations C&I - 1 hour rate A : Expert Services & Project Management,196,NULL,NULL
723,Overschakeling productieswitches naar nieuwe coreswitch in DTC1 GUL,337,NULL,NULL
724,DR-tests en bijhorende documentatie,337,NULL,NULL
725,Uitlegsessie Citrix,337,NULL,NULL
726,Savaco CRM verbetertraject,354,NULL,NULL
727,Savaco CRM - supplier beheer,354,NULL,NULL
731,Voorbereiden configuratie,197,NULL,NULL
732,"Aanpassingen SD-WAN (na kantooruren - 1,5u per site)",197,NULL,NULL
733,Failover test,197,NULL,NULL
734,Update documentatie en procedure,197,NULL,NULL
737,Services Management,157,NULL,NULL
738,Project Management,285,NULL,NULL
739,Development,285,NULL,NULL
740,Meetings,285,NULL,NULL
741,Testing,285,NULL,NULL
742,Documentatie,285,NULL,NULL
743,Nubes monitoring,285,NULL,NULL
744,Detailed Windchill analysis,453,NULL,NULL
745,Configure Windchill on test server,453,NULL,NULL
746,Document configuration in Business Configuration Report,453,NULL,NULL
747,Project Management,453,NULL,NULL
748,Detailed CAD data management analysis,453,NULL,NULL
749,Configure workgroup manager on test server,453,NULL,NULL
750,Define test plan,453,NULL,NULL
751,Define and use test data for functional validation,453,NULL,NULL
752,Project Management,453,NULL,NULL
754,Documentation of System configuration,453,NULL,NULL
755,Post production support - Support to final users,453,NULL,NULL
756,Improve & Accelerate Services SCC,284,NULL,NULL
757,Improve & Accelerate PM diensten SCC,284,NULL,NULL
758,Opvolgen Alerts,192,NULL,NULL
760,Service Desk,138,NULL,NULL
764,Service desk: Basic support,763,NULL,NULL
765,Service desk: Cloud&Infrastructure,763,NULL,NULL
766,Services Management,763,NULL,NULL
769,afwerkingen,393,NULL,NULL
770,Workplace virtualisation services,501,NULL,NULL
771,Diensten buiten het project,501,NULL,NULL
772,Migratie & ondersteuning klant,404,NULL,NULL
773,Afwerkingen & assistentie klant,405,NULL,NULL
774,afwerkingen,372,NULL,NULL
775,Afwerkingen infrastructuurvernieuwing,336,NULL,NULL
776,Change request Sapphire,347,NULL,NULL
778,Cleanup servers,347,NULL,NULL
779,Downloadservice AD,347,NULL,NULL
780,CR15,347,NULL,NULL
781,Improve & Accelerate Services - Discover,299,NULL,NULL
782,Improve & Accelerate Services - Project Management,299,NULL,NULL
783,Test Upgrade - WinDU execution + healing on current production,299,NULL,NULL
784,Installation Windchill version (12+) and configuration back-up (automated),299,NULL,NULL
785,Test Upgrade - Set Https and Active Directory on Windchill testserver,299,NULL,NULL
786,Test Upgrade - Upgrade to Windchill 12.1.0.1 on test server,299,NULL,NULL
787,Test Upgrade - Execute healing scripts after upgrade to Windchill 12.0,299,NULL,NULL
788,Test Upgrade - Installation/configuration cadworker Illustrate,299,NULL,NULL
789,Test Upgrade - Key-users validation assistance,299,NULL,NULL
791,Production Upgrade - WinDU execution + healing on current production,299,NULL,NULL
792,Installation Windchill version (12+) and configuration back-up (automated),299,NULL,NULL
793,Production Upgrade - Set Https and Active Directory on Windchill productionserver,299,NULL,NULL
794,Production Upgrade - Upgrade to Windchill 12.1 on production server,299,NULL,NULL
795,Production Upgrade - Execute healing scripts after upgrade to Windchill 12.1,299,NULL,NULL
796,Production Upgrade - Update/installation/configuration cadworkers  incl Illustrate,299,NULL,NULL
797,Production Upgrade - User assistance after go live,299,NULL,NULL
798,Production Upgrade - Project Management,299,NULL,NULL
799,Windchill Update to 12.1.1,299,NULL,NULL
800,Test Upgrade ? Performance baseline,301,NULL,NULL
801,Test Upgrade - WinDU execution + healing,301,NULL,NULL
802,Installation Windchill version (12+) and configuration back-up (automated),301,NULL,NULL
803,Test Upgrade - Set Https on Windchill testserver,301,NULL,NULL
804,Test Upgrade - Upgrade to Windchill 12.0 on test server,301,NULL,NULL
805,Test Upgrade - Execute healing scripts after upgrade to Windchill 12.0,301,NULL,NULL
806,Test Upgrade - Update/installation/configuration cadworkers,301,NULL,NULL
807,Test Upgrade ? Key-users validation assistance,301,NULL,NULL
808,Test Upgrade - Project Management,301,NULL,NULL
810,Production Upgrade - Execute healing scripts after upgrade to Windchill 12.0,301,NULL,NULL
811,Production Upgrade - Set Https on Windchill productionserver,301,NULL,NULL
812,Production Upgrade - Project Management,301,NULL,NULL
813,Production Upgrade - User assistance after go live,301,NULL,NULL
814,Production Upgrade - Performance baseline,301,NULL,NULL
815,Production Upgrade ? Rehost production server to new test server,301,NULL,NULL
816,Production Upgrade - Project Management,301,NULL,NULL
817,ProjectLink Part 2 - Installation/configuration/training,301,NULL,NULL
818,ProjectLink - Project Management,301,NULL,NULL
820,Update Creo config,302,NULL,NULL
821,Install script - Silent install,302,NULL,NULL
822,User Assistance during roll-out,302,NULL,NULL
823,Creo/Windchill test plan definition,302,NULL,NULL
824,Project Management,302,NULL,NULL
825,Updatetraining to Creo Parametric 7.0 from Creo Parametric 4.0,302,NULL,NULL
826,User Assistance after go live,302,NULL,NULL
827,Assistentie bij uitrol / configuratie / opvolging FortiEDR,185,NULL,NULL
828,Installatie StoreEasy,374,NULL,NULL
829,Installatie StoreEasy,374,NULL,NULL
830,Afwerking migratie,335,NULL,NULL
831,Test upgrade,255,NULL,NULL
832,Rehearsal upgrade,255,NULL,NULL
833,Production upgrade,255,NULL,NULL
834,Herinstallatie van onze oplossing,648,NULL,NULL
835,APM Kickstart-fee,198,NULL,NULL
836,Automated Patch Management Servers,198,NULL,NULL
837,Uitwerken plan,394,NULL,NULL
840,Services Management,153,NULL,NULL
841,Secure Score Assessment,153,NULL,NULL
842,Analysis preparation,215,NULL,NULL
843,Analysis workshop,215,NULL,NULL
844,Software development,215,NULL,NULL
845,Production migration,215,NULL,NULL
847,Rehearsal configuration and migration,215,NULL,NULL
848,Define Part soft type - Item,304,NULL,NULL
849,Migrate COTS items,304,NULL,NULL
850,Send (COTS) Item info to BaaN (configuration),304,NULL,NULL
851,Link COTS items to CAD documents,304,NULL,NULL
852,Implement Supplier Management,304,NULL,NULL
853,Migrate Manufacturers,304,NULL,NULL
854,Migrate Manufacturer parts,304,NULL,NULL
855,Migrate AML,304,NULL,NULL
856,Define Document soft type - Datasheet,304,NULL,NULL
857,Migrate Data sheets,304,NULL,NULL
858,Link data sheets,304,NULL,NULL
859,Implement Change Management,304,NULL,NULL
860,Check business rules and create export to BaaN,304,NULL,NULL
861,User assistance,304,NULL,NULL
862,Analysis Phase 2,304,NULL,NULL
863,Project Management,304,NULL,NULL
864,Diensten buiten scope,304,NULL,NULL
865,Change Req 001 - Migrate Change Objects from BaaN to Windchill - Software development,304,NULL,NULL
866,Change Req 001 - Migrate Change Objects from BaaN to Windchill - Migrate Change Objects,304,NULL,NULL
867,Change Req 002 - Revise CAD doc in Windchill when linking with the migrated COTS item from BaaN,304,NULL,NULL
868,Change Req 003 - Define Part soft type - Item,304,NULL,NULL
869,Change Req 003 - Migrate COTS items,304,NULL,NULL
870,Change Req 003 - Send (COTS) Item info to BaaN (configuration),304,NULL,NULL
871,Change Req 003 - Link COTS items to CAD documents,304,NULL,NULL
872,Change Req 003 - Implement Supplier Management,304,NULL,NULL
873,Change Req 003 - Migrate Manufacturers,304,NULL,NULL
874,Change Req 003 - Migrate Manufacturer parts,304,NULL,NULL
875,Change Req 003 - Migrate AML,304,NULL,NULL
876,Change Req 003 - Define Document soft type - Datasheet,304,NULL,NULL
877,Change Req 003 - Migrate Data sheets,304,NULL,NULL
878,Change Req 003 - Implement Change Management,304,NULL,NULL
879,Change Req 003 - Check business rules and create export to BaaN,304,NULL,NULL
880,Change Req 003 - User assistance,304,NULL,NULL
881,Change Req 003 - Analysis Phase 2,304,NULL,NULL
882,Change Req 003 - Project Management,304,NULL,NULL
883,A&I Imp&Acc Serv SCC,312,NULL,NULL
884,aanpassingen gebruik BYOD,464,NULL,NULL
885,Opzet O365 back-up,464,NULL,NULL
886,aanpassingen ter verhoging van de MS secure score,464,NULL,NULL
887,opzet van de MFA en MFA user adoption (15 min per medewerker),464,NULL,NULL
888,Basis setup NAC,448,NULL,NULL
889,Migratie infrastructuur,448,NULL,NULL
892,Help & Fix,164,NULL,NULL
893,Care & Control,164,NULL,NULL
894,Improve & Accelerate Services SCC,242,NULL,NULL
895,Microsoft 365 Business Premium Monitoring,362,NULL,NULL
896,Microsoft 365 Device Management,362,NULL,NULL
897,Kick-Off & Scope Determination,264,NULL,NULL
898,Setup cloud platform,264,NULL,NULL
899,Prepare client install / uninstall,264,NULL,NULL
900,Follow-up and finetuning,264,NULL,NULL
901,Server migration,264,NULL,NULL
902,Setup Defender for Office,264,NULL,NULL
903,Improve & Accelerate SCC,481,NULL,NULL
904,Improve & Accelerate Consulting en Project Management SCC,481,NULL,NULL
905,EVOS Permit to Work,350,NULL,NULL
906,Training Windchill CAD Data Management,356,NULL,NULL
907,afwerkingen,408,NULL,NULL
908,Tarief 1 (config/development/...),344,NULL,NULL
909,Tarief 2 (training/consulting en PM),344,NULL,NULL
912,Improve & Accelerate Consulting en Project Management SCC,239,NULL,NULL
913,Improve & Accelerate Services SCC,239,NULL,NULL
914,Analyse Google Forms / Flows voor migratie,615,NULL,NULL
915,Analyse AD's,615,NULL,NULL
916,Analyse hoeveelheid data,615,NULL,NULL
917,Installations C&I - 1 hour rate A : Expert installations & Project Management,384,NULL,NULL
918,"SCC - Installatie, Configuratie, Documentatie, Development",268,NULL,NULL
919,"SCC - Analyse, Project Management, Training",268,NULL,NULL
920,Opkuis & afbouwservers,395,NULL,NULL
921,Care & Control Services - Monitor & Alert,308,NULL,NULL
922,Care & Control Services - Help & Fix,308,NULL,NULL
923,Care & Control Services - Project Management,308,NULL,NULL
924,Improve & Accelerate Services SCP - Apply,308,NULL,NULL
925,Improve & Accelerate Consulting & Project Management SCP,308,NULL,NULL
926,Upgrade Windchill Quality - install and upgrade (20h),308,NULL,NULL
927,Upgrade Windchill Quality - project mngmnt (4h),308,NULL,NULL
928,"Installation, Configuration, Development",382,NULL,NULL
929,Diensten buiten het project,722,NULL,NULL
930,Begeleiding CRM,176,NULL,NULL
931,Diensten,721,NULL,NULL
932,A&I Improve & Accelerate diensten SCC - Deme Offshore - QSHE,250,NULL,NULL
933,Improve&Accelerate SCC- extra services,250,NULL,NULL
934,Software development and consultancy,225,NULL,NULL
935,Improve & Accelerate,251,NULL,NULL
936,Service Management SCC including 4 onsite visit/year,251,NULL,NULL
937,Fortigate Platform,275,NULL,NULL
938,Setup Fortigate clusters,275,NULL,NULL
939,Setup SDWAN clusters,275,NULL,NULL
940,Setup FortiManager platform,275,NULL,NULL
943,Improve & Accelerate Services SCC PO4500566197,245,NULL,NULL
944,Kick off - process info,425,NULL,NULL
945,Define - preparation,425,NULL,NULL
946,Define - Governance workshop,425,NULL,NULL
947,Define - user adoption workshop,425,NULL,NULL
948,Define - business objectives workshop,425,NULL,NULL
949,Define - 'To be' workshop,425,NULL,NULL
950,Define - process info,425,NULL,NULL
951,Kick Off,425,NULL,NULL
952,Define,425,NULL,NULL
953,Technical onboarding,425,NULL,NULL
954,Technical onboarding -  Prepare technical environment,425,NULL,NULL
955,Technical onboarding - documentation + IT workshop,425,NULL,NULL
956,Execute (per functional group),425,NULL,NULL
957,Prepare,425,NULL,NULL
958,Migrate,425,NULL,NULL
959,Train & Support,425,NULL,NULL
960,User adoption plan & communication,425,NULL,NULL
961,Improve & Accelerate,425,NULL,NULL
962,Service management - quarterly sessions,425,NULL,NULL
963,Improve & accelerate budget,425,NULL,NULL
964,Provisioning & governance tool,425,NULL,NULL
965,Kick off - preparation,425,NULL,NULL
966,Kick off - assemble project team,425,NULL,NULL
967,Kick off - workshop preparation,425,NULL,NULL
968,Kick Off - workshop 1,425,NULL,NULL
969,Kick off - workshop 2,425,NULL,NULL
970,afwerkingen,409,NULL,NULL
971,Axel Vervoort Services 2022,353,NULL,NULL
972,Tyles - CRM,178,NULL,NULL
973,CRM implementatie,169,NULL,NULL
974,"Installatie, configuratie, development",502,NULL,NULL
975,Create Ireland - kickstart,355,NULL,NULL
976,"Rapportering, datawarehousing, etc",305,NULL,NULL
977,Prep update Training,551,NULL,NULL
978,Creo 9.0 Update Training,551,NULL,NULL
979,Creo 9.0 update Training - Backup,551,NULL,NULL
980,Creo 9.0 User assistance,551,NULL,NULL
981,Development 2023,12,NULL,NULL
982,Development,12,NULL,NULL
983,"SCC - Analyse, Project Management, Training - PO4500567960",246,NULL,NULL
984,"SCC - Installatie, Configuratie, Documentatie, Development - PO4500567960",246,NULL,NULL
985,ESXi en Rackmontage,276,NULL,NULL
986,Rack & Physical Servers,276,NULL,NULL
987,"Powerdistribution, monitoring & -management",276,NULL,NULL
988,Dedicated/custom Networkinfrastructure,276,NULL,NULL
989,Primary block-based storage - SAN,276,NULL,NULL
990,Backup (on-perm/co-Managed Public Cloud),276,NULL,NULL
991,Servervirtualization,276,NULL,NULL
992,Datacenter Documentation,276,NULL,NULL
993,Core infrastructure services (dedicated),276,NULL,NULL
994,Diverse regieprestaties binnen project,276,NULL,NULL
995,HP Care Pack Installation Services,276,NULL,NULL
996,Diensten buiten het project,276,NULL,NULL
997,Installations C&I - 1 hour rate B : Standard Services,663,NULL,NULL
998,Run data model,614,NULL,NULL
999,Migratie,396,NULL,NULL
1000,Consultancy & Analysis PDM,351,NULL,NULL
1001,Workshop EBOM MBOM intake 1 - prep,351,NULL,NULL
1002,Workshop EBOM MBOM intake 1,351,NULL,NULL
1003,Workshop EBOM MBOM - process info,351,NULL,NULL
1004,Workshop EBOM MBOM intake 2,351,NULL,NULL
1005,Workshop EBOM MBOM intake 2 - process info,351,NULL,NULL
1006,Workshop EBOM MBOM best practice by Savaco - prep,351,NULL,NULL
1007,Workshop EBOM MBOM best practice by Savaco,351,NULL,NULL
1008,"Synthese, estimate effort, SOW",351,NULL,NULL
1010,Workshop ERP integration intake 1 - prep,351,NULL,NULL
1011,Workshop ERP integration intake 1,351,NULL,NULL
1012,Workshop ERP integration intake 1 - verwerken info,351,NULL,NULL
1013,Workshop ERP integration intake 2,351,NULL,NULL
1014,Workshop ERP integration intake 2 - verwerken info,351,NULL,NULL
1015,Workshop ERP integration best practice by Savaco - prep,351,NULL,NULL
1016,Workshop ERP integration best practice by Savaco,351,NULL,NULL
1017,"Synthese, estimate effort, SOW",351,NULL,NULL
1018,Project Management PDM,351,NULL,NULL
1020,Workshop workinstructions intake 1,351,NULL,NULL
1021,Workshop workinstructions intake 1 - verwerken info,351,NULL,NULL
1022,Workshop workinstructions intake 2,351,NULL,NULL
1023,Workshop workinstructions intake 2 - verwerken info,351,NULL,NULL
1024,Workshop workinstructions practice by Savaco - prep,351,NULL,NULL
1025,Workshop workinstructions best practice by Savaco,351,NULL,NULL
1026,"Synthese,  estimate effort, SOW",351,NULL,NULL
1027,Project Management PDM,351,NULL,NULL
1028,Workshop change management intake 1 - prep,351,NULL,NULL
1030,Workshop change management intake 1 - verwerken info,351,NULL,NULL
1031,Workshop change management intake 2,351,NULL,NULL
1032,Workshop change management intake 2 - verwerken info,351,NULL,NULL
1033,Workshop change management best practice by Savaco - prep,351,NULL,NULL
1034,Workshop change management best practice by Savaco,351,NULL,NULL
1035,"Synthese, estimate effort, SOW",351,NULL,NULL
1036,Project Management PDM,351,NULL,NULL
1037,Workshop manage variants - prep,351,NULL,NULL
1038,Workshop manage variants intake 1,351,NULL,NULL
1040,Workshop manage variants intake 2,351,NULL,NULL
1041,Workshop  manage variants - intake 2 verwerken info,351,NULL,NULL
1042,Workshop manage variants best practice by Savaco - prep,351,NULL,NULL
1043,Workshop manage variants best practice by Savaco,351,NULL,NULL
1044,"Synthese, estimate effort, SOW",351,NULL,NULL
1045,Project Management PDM,351,NULL,NULL
1046,"Synthese, Craft roadmap,",351,NULL,NULL
1047,Final presentation - align with business,351,NULL,NULL
1048,Product Architecture - Prototype,351,NULL,NULL
1057,Atlas infrastructuur,333,NULL,NULL
1058,Atlas VMs setup and migrate,333,NULL,NULL
1059,On-premise infrastructuur,333,NULL,NULL
1060,Configuratie edge switches,333,NULL,NULL
1061,Opkuis on-prem infrastructuur,333,NULL,NULL
1062,SCC- Data & Document platform Assessment - Intake & rapport,333,NULL,NULL
1063,SCC- Data & Document platform Assessment - Scan & Assessment < 25 users,333,NULL,NULL
1064,Cloud Landing Zone & Regions,333,NULL,NULL
1065,Rack & Physical Servers,333,NULL,NULL
1066,Network-as-a-Service (SAVACO Datacenter/Atlas Local or Global/co-Managed IaaS),333,NULL,NULL
1067,Dedicated/custom Networkinfrastructure,333,NULL,NULL
1068,Internet-as-a-Service (SAVACO Datacenter/Atlas Local or Global),333,NULL,NULL
1069,Perimeter Security-as-a-Service (SAVACO Datacenter/Atlas Local or Global),333,NULL,NULL
1070,Backup (on-perm/co-Managed Public Cloud),333,NULL,NULL
1071,Backup-as-a-Service (SAVACO Datacenter/Cloud Backup),333,NULL,NULL
1072,Servervirtualization,333,NULL,NULL
1073,Infrastructure-as-a-Service (SAVACO Atlas Local & Global) - MOVE,333,NULL,NULL
1074,Infrastructure-as-a-Service (SAVACO Atlas Local & Global) - (RE)BUILD,333,NULL,NULL
1075,Datacenter Documentation,333,NULL,NULL
1076,Core infrastructure services (dedicated),333,NULL,NULL
1077,Assistentie Application & Database services,333,NULL,NULL
1078,Monitoring & Management tools & services,333,NULL,NULL
1079,Diverse regieprestaties binnen project,333,NULL,NULL
1081,Engineering Artikel Load - Test,223,NULL,NULL
1082,Engineering Artikel Load - Rehearsal,223,NULL,NULL
1083,Engineering Artikel Load - Productie,223,NULL,NULL
1084,Project Management,223,NULL,NULL
1085,Voorbereiding Nieuwe dataset,223,NULL,NULL
1086,Review werkwijze Artikel/CAD,223,NULL,NULL
1087,Rehearsal Datamigratie,223,NULL,NULL
1088,Validatie (VDL),223,NULL,NULL
1089,Voorbereiding productie dataset,223,NULL,NULL
1090,Productie Migratie,223,NULL,NULL
1091,Firewallconfig,332,NULL,NULL
1092,Operational Services security FY 22,332,NULL,NULL
1094,PM: Begeleiding en Coordinatie,415,NULL,NULL
1095,FortiEDR/FortiClient - Ondersteuning bij uitrol,415,NULL,NULL
1096,Opzet 8 branch sites,415,NULL,NULL
1097,Opzet HQ cluster,415,NULL,NULL
1098,FortiNAC setup,415,NULL,NULL
1099,FortiNAC migratie infrastructuur site ploegsteert (omzetten switchpoorten),415,NULL,NULL
1100,Diensten buiten project,415,NULL,NULL
1101,Diensten,465,NULL,NULL
1102,Unata - bucket services,168,NULL,NULL
1103,Initial workshop: explain configuration @Herstal,228,NULL,NULL
1104,"Configuration workshops to define: Groups, roles  , Profiles  , Access control",228,NULL,NULL
1105,Set up replica server,228,NULL,NULL
1106,Configure system (test + production),228,NULL,NULL
1107,Documentation,228,NULL,NULL
1108,Set up Creo worker,228,NULL,NULL
1109,Creo configuration,228,NULL,NULL
1110,Assistance during testing,228,NULL,NULL
1111,Training,228,NULL,NULL
1113,Project Management,228,NULL,NULL
1114,Formation,228,NULL,NULL
1115,Formation Consultancy,309,NULL,NULL
1116,Rackmontage en ESXi,277,NULL,NULL
1117,Rack & Physical Servers,277,NULL,NULL
1118,Primary block-based storage - SAN,277,NULL,NULL
1119,Backup (on-perm/co-Managed Public Cloud),277,NULL,NULL
1120,Servervirtualization,277,NULL,NULL
1121,Datacenter Documentation,277,NULL,NULL
1122,Core infrastructure services (dedicated),277,NULL,NULL
1123,Monitoring & Management tools & services,277,NULL,NULL
1124,HP Care Pack Installation Services,277,NULL,NULL
1125,Diensten buiten het project,277,NULL,NULL
1127,Dossiervorming,235,NULL,NULL
1128,Departement migratie,235,NULL,NULL
1130,Clearpass setup,331,NULL,NULL
1131,"0100 - DC's, file en print",8,NULL,NULL
1132,0100 - Antivirus,8,NULL,NULL
1133,0010 - Rack & physical servers,8,NULL,NULL
1134,"0020 - Powerdistribution, monitoring & -management",8,NULL,NULL
1135,0030 - Dedicated/custom Networkinfrastructure,8,NULL,NULL
1136,0040 - Perimeter Security (private on-premise of co-managed Azure IaaS),8,NULL,NULL
1137,0050 - Primary block-based storage - SAN,8,NULL,NULL
1138,0060 - Backup (on-perm/co-Managed Public Cloud),8,NULL,NULL
1139,0070 - Backup-as-a-Service (SAVACO Datacenter/Cloud Backup),8,NULL,NULL
1140,0080 - Servervirtualization,8,NULL,NULL
1141,0090 - Datacenter Documentation,8,NULL,NULL
1142,0100 - Core infrastructure services (dedicated),8,NULL,NULL
1143,0110 - Assistentie Application & Database services,8,NULL,NULL
1144,0120 - Workplace virtualisation services (dedicated : on-prem/co-Managed Public Cloud),8,NULL,NULL
1145,0130 - Monitoring & Management tools & services,8,NULL,NULL
1147,9999 - Diensten buiten het project,8,NULL,NULL
1148,0160 - HP Care Pack Installation Services,8,NULL,NULL
1149,0020 - UPS Config,8,NULL,NULL
1150,0020 - UPS Test,8,NULL,NULL
1151,Reserve,8,NULL,NULL
1152,Rack installation,8,NULL,NULL
1153,Network and firewall,8,NULL,NULL
1154,"Storage, virtualisatie, back-up en monitoring",8,NULL,NULL
1155,UPS Test,8,NULL,NULL
1156,"0020 - Powerdistribution, monitoring & -management",8,NULL,NULL
1157,Core,8,NULL,NULL
1158,Schrappen uit de scope,8,NULL,NULL
1159,0100 - Core infrastructure services (dedicated),8,NULL,NULL
1160,Citrix,8,NULL,NULL
1162,Improve & Accelerate Services SPD,376,NULL,NULL
1163,Rack & Physical Servers,171,NULL,NULL
1164,Primary block-based storage - SAN,171,NULL,NULL
1165,Backup (on-perm/co-Managed Public Cloud),171,NULL,NULL
1166,Servervirtualization,171,NULL,NULL
1167,Core infrastructure services (dedicated),171,NULL,NULL
1168,Workplace virtualisation services (dedicated : on-prem/co-Managed Public Cloud),171,NULL,NULL
